City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
306,richards bay,-28.783,32.0377,18.06,65,96,4.58,ZA,1698035894
307,saint-pierre,-21.3393,55.4781,28.09,57,0,3.09,RE,1698036434
308,utrik,11.2278,169.8474,25.93,87,100,8.27,MH,1698036434
309,xining,36.6167,101.7667,11.3,36,0,0.92,CN,1698036435
310,praia da vitoria,38.7333,-27.0667,17.09,94,20,4.58,PT,1698036435
311,new norfolk,-42.7826,147.0587,19.84,53,73,2.88,AU,1698036436
312,zhezqazghan,47.7833,67.7667,-0.68,69,75,3.0,KZ,1698036436
313,mto wa mbu,-3.35,35.85,23.03,57,33,2.75,TZ,1698036437
314,forster,-32.1667,152.5167,22.38,52,0,4.59,AU,1698036438
315,port lincoln,-34.7333,135.8667,20.99,49,91,8.01,AU,1698036438
316,aracuai,-16.8497,-42.0703,22.55,80,96,2.27,BR,1698036439
317,mccordsville,39.9081,-85.9228,5.92,88,0,0.0,US,1698036301
318,cabedelo,-6.9811,-34.8339,24.37,82,99,5.77,BR,1698036440
319,charleston,32.7766,-79.9309,16.12,80,0,1.54,US,1698036438
320,manokwari,-0.8667,134.0833,28.0,79,81,1.67,ID,1698036441
321,dinguiraye,11.3,-10.7167,21.53,90,85,1.42,GN,1698036442
322,canchungo,12.0672,-16.0333,25.32,89,100,2.02,GW,1698036442
323,constantia,44.1833,28.65,14.38,61,7,3.61,RO,1698036246
324,alofi,-19.0595,-169.9187,23.94,88,75,2.57,NU,1698036443
325,bahce,37.1972,36.5766,19.97,43,30,2.28,TR,1698036444
326,menongue,-14.6585,17.691,20.93,60,100,2.39,AO,1698036218
327,wanning,18.8003,110.3967,25.78,91,100,5.75,CN,1698036445
328,howard springs,-12.497,131.047,32.95,46,28,5.57,AU,1698036446
329,anloga,5.7947,0.8973,27.02,84,87,5.08,GH,1698036446
330,mahanoro,-19.9,48.8,26.31,66,10,5.95,MG,1698036447
331,tamanrasset,22.785,5.5228,20.95,19,0,2.57,DZ,1698036447
332,roma,43.2128,-75.4557,5.6,91,100,5.66,US,1698036448
333,yeppoon,-23.1333,150.7333,34.88,60,2,7.34,AU,1698036448
334,lerwick,60.1545,-1.1494,10.0,70,19,4.2,GB,1698036449
335,geraldton,-28.7667,114.6,22.23,40,65,9.26,AU,1698036440
336,kununurra,-15.7667,128.7333,38.99,22,0,7.72,AU,1698036450
337,murzuq,25.9155,13.9184,24.7,18,100,3.14,LY,1698036451
338,vila franca do campo,37.7167,-25.4333,16.6,99,64,2.24,PT,1698036451
339,bubaque,11.2833,-15.8333,28.79,72,100,2.97,GW,1698036452
340,vila velha,-20.3297,-40.2925,19.97,97,100,1.54,BR,1698036452
341,mar del plata,-38.0023,-57.5575,14.01,99,100,3.09,AR,1698036453
342,waddan,29.1614,16.139,22.8,46,0,2.63,LY,1698036453
343,porto novo,6.4965,2.6036,25.78,88,100,1.84,BJ,1698036187
344,sterling,39.0062,-77.4286,10.64,62,0,3.6,US,1698036454
345,fada,9.5667,8.3,19.75,48,100,0.99,NG,1698036455
346,francistown,-21.17,27.5079,19.68,74,17,7.61,BW,1698036456
347,troitskiy,57.0603,63.7481,-0.09,66,95,5.58,RU,1698036456
348,olinda,-8.0089,-34.8553,25.85,73,40,4.12,BR,1698036442
349,arraial do cabo,-22.9661,-42.0278,20.93,80,75,7.69,BR,1698036457
350,invercargill,-46.4,168.35,14.45,63,99,2.24,NZ,1698036458
351,vilyuysk,63.7553,121.6247,-0.77,95,100,0.73,RU,1698036458
352,broken hill,-31.95,141.4333,24.84,17,0,3.03,AU,1698036459
353,sotik post,-0.7813,35.3416,17.17,71,22,1.92,KE,1698036459
354,pama,11.2497,0.7075,23.96,43,46,0.93,BF,1698036460
355,fort-shevchenko,44.5086,50.263,8.82,57,0,5.06,KZ,1698036461
356,umluj,25.0213,37.2685,29.0,59,22,2.03,SA,1698036461
357,kapit,2.0167,112.9333,29.81,67,97,0.67,MY,1698036462
358,kourou,5.1552,-52.6478,27.03,91,92,3.85,GF,1698036463
359,merritt,50.1123,-120.7942,9.1,69,34,0.39,CA,1698036463
360,miguel pereira,-22.4539,-43.4689,14.96,95,64,1.73,BR,1698036464
